NomeCompleto;DataNascimento;CPF;Município;Logradouro;Nro;Complemento;Bairro;TelefoneCelular;PossuiPet
JOSE ROBERTO BARBOSA DE SOUZA;15/04/1988;11111111613;São Paulo;RUA JERONIMO DE ANDRADE;S/N;;FREGUESIA DO O;11925330633;N
PAOLO UCCELLO;28/05/1970;11111111261;São Paulo;RUA SAO CAETANO DO SUL;518;;GRAJAU;11983924404;N
ALINE ISABEL DA SILVA PAGANOTTI;20/04/1987;11111111436;São Paulo;RUA SAO JOSE DO RIO PRETO;495;;GRAJAU;11929670904;S
EDSON CARLOS MIRANDA MONTEIRO;21/06/1971;11111111921;São Paulo;RUA LAURA BOSS;S/N;;GUAIANASES;11997054117;S
JULIO AMARO ALVES;03/10/1968;11111111327;São Paulo;PC ANDES;S/N;;GUAIANAZES;11963463084;N
CINTIA REGINA DA COSTA SANTANA;04/07/1978;11111111720;São Paulo;AV RIBEIRAO ITAQUERA;S/N;;GUAIANAZES;11958502773;N
CAMILA TAPIA ROJAS SEGATO;08/07/1987;11111111635;São Paulo;RUA PROF HASEGAWA;S/N;;GUAIANAZES;11932151073;N
MARIA CRISTINA VENANCIO;05/02/1997;11111111777;São Paulo;RUA COUTINHO E MELO;S/N;;GUAIANAZES;11976173913;N
GIOVANNI DI PAOLO;13/05/1970;11111111231;São Paulo;AV DR GUILHERME DE ABREU SODRE;1414;;GUAIANAZES COHAB;11993225004;N
GABRIEL ALEX PINTO DE OLIVEIRA;23/12/1979;11111111572;São Paulo;RUA RODOLFO ALBINO SILVA;33;;GUAINAZES;11912619813;S
DENIVIA ROSA DOS SANTOS OLIVEIRA;07/06/1964;11111111831;São Paulo;RUA EMBU DE HELIOPOLIS;S/N;;HELIOPOLIS;11992914993;S
RONALD BELFORD;09/07/1946;11111111137;São Paulo;RUA JOINVILLE;323;apto 80;IBIRAPUERA;11958477374;S
ANDRE CUSTODIO ALVES;23/05/1990;11111111471;São Paulo;RUA DIOGO JACOME;291;;IBIRAPUERA;11918820204;S
ALESSANDRO DE OLIVEIRA SOARES;26/09/1978;11111111417;São Paulo;RUA WALDOMIRO SILVEIRA;28;;IMIRIM;11935561284;N
DANILO AMORIM XAVIER DA SILVA;25/05/1995;11111111806;São Paulo;RUA FRANCISCA BIRIBA;S/N;;IMIRIM;11985164493;N
LUCIANO MARCELINO CAMARGO;02/11/2003;11111111559;São Paulo;AV BENTEVI C JAUAPERI;104;;INDIANOPOLIS;11908589553;N
MASOLINO AMERICANO;13/04/1958;11111111253;São Paulo;RUA DR MARIO VICENTE;1715;;IPIRANGA;11986404564;S
MARIA JOSE RONDON;22/01/1963;11111111306;São Paulo;PC PEDRO BALINT;S/N;;IPIRANGA;11969973504;N
PAULO RENATO MATEUS PERES;20/05/1977;11111111340;São Paulo;RUA AGOSTINHO GOMES;S/N;;IPIRANGA;11959432824;S
IZABEL OLIVEIRA DE JESUS;22/05/2000;11111111552;São Paulo;RUA COSTA AGUIAR;261;;IPIRANGA;11906419413;N
AGNOLO GADDI;04/01/1953;11111111156;São Paulo;PC ROBERTO GOMES PEDROSA;520;;ITAIM BIBI;11963586064;S
DJALMA DE SOUZA BENTO;24/02/1988;11111111578;São Paulo;RUA SAO MARUM;520;;ITAIM BIBI;11914479933;S
DOMENICO DI BARTOLO;20/10/1984;11111111199;São Paulo;RUA VEREDA DO PARAISO;8;;ITAIM PAULISTA;11898355644;S
ANA CAROLINA VIEIRA MANTOVANI;04/08/1990;11111111676;São Paulo;RUA CACHOEIRA MANGAVAL;37;;ITAIM PAULISTA;11944861893;S
CAIO MIRANDA CARNEIRO;08/06/1991;11111111629;São Paulo;AV ITAIM;150;;ITAIM PAULISTA;11930290953;S
ANDRÉ LUIZ DE MIRANDA BARBOSA;03/11/1991;11111111900;São Paulo;RUA MANOEL RODRIGUES SANTIAGO;10;;ITAIM PAULISTA;11997894537;N
ANTONINHA JOSELI PEREIRA;12/11/1992;11111111513;São Paulo;RUA DESEM ISNARD DOS REIS;S/N;;ITAIM PAULISTA;11905799364;N
MARIA ELIZABETH GALVÃO MELLO;30/12/1962;11111111888;São Paulo;PC BOM PASTOR;387;;ITAQUERA;11998374777;S
LUIZ CARLOS DE PAULA;03/01/1971;11111111641;São Paulo;RUA BENTO VIEIRA CASTRO;344;;ITAQUERA;11934011193;S
PERIN DEL VAGA;24/02/1972;11111111262;São Paulo;PC BOM PASTOR;462;;ITAQUERA;11983614384;S
CARMEN DA SILVA FERREIRA;15/12/1973;11111111672;São Paulo;AV DOS TEXTEIS;S/N;;ITAQUERA;11943621813;S
EDNELSON PACHECO FERREIRA;10/06/1977;11111111962;São Paulo;RUA FREI ANTONIO FAGGIANO;41;;ITAQUERA;11995413297;S
ANDRÉA WERNER SILVA BONOLI;30/09/1981;11111111477;São Paulo;RUA ANTONIO GANDINE;S/N;;ITAQUERA;11916960084;N
ADRIANO DE ALMADA MESSIAS;10/11/1982;11111111393;São Paulo;RUA BARTOLINO DE PADUA;S/N;;ITAQUERA;11943001764;N
IRACI MARTA COLOMBO DOS SANTOS;02/08/1985;11111111341;São Paulo;RUA KEN SUGAYA;S/N;;ITAQUERA;11959122804;N
NAZARENO ANTONIO DA SILVA;10/03/1988;11111111608;São Paulo;RUA CESAR DIAS;S/N;;ITAQUERA;11923780533;S
DANYLO DAS NEVES CUNHA;20/02/1997;11111111807;São Paulo;RUA DAVID D FERREIRA;S/N;;ITAQUERA;11985474513;S
JHONATAN ANGELO AURICHI FERREIRA DE SOUZA;15/06/1981;11111111509;São Paulo;RUA PDE FRANCISCO DE TOLEDO;S/N;;ITAQUERA COHAB I;11907039444;N
CARLOS CARDOSO DA SILVA;03/02/1987;11111111657;São Paulo;RUA SILVIO TORRES;S/N;;ITAQUERA COHAB I;11938971513;N
JULIAN ANDERSON ALVES BRITO;03/01/1966;11111111948;São Paulo;RUA LAURA BOSSI C ALFREDO RICCI;S/N;;ITAQUERA COHAB II;11995973577;N
PIERO DELLA FRANCESCA;12/09/1959;11111111264;São Paulo;RUA DEODORO DE CAMPOS;12;;JABAQUARA;11982994344;N
GIULIO ROMANO;22/01/1962;11111111238;São Paulo;RUA APACE;372;;JABAQUARA;11991054864;N
MARIA LUCIA FERREIRA MAIA;03/06/1968;11111111329;São Paulo;AV ENG ARMANDO DE ARRUDA PEREIRA;S/N;;JABAQUARA;11962843044;S
MARCO ANTONIO ZITO ALVARENGA;18/03/1978;11111111945;São Paulo;RUA TEJUPA;S/N;;JABAQUARA;11996093637;S
ANGELICA CRISTINA FASSINA HADI;15/10/1981;11111111507;São Paulo;VD MATEUS TORLONI;S/N;;JABAQUARA;11907659484;S
FRANCISCO CARLOS LAROCA JUNIOR;07/05/1982;11111111645;São Paulo;RUA MAJOR FREIRE;565;;JABAQUARA;11935251273;S
CLAUDIO OLIVEIRA DE MESSIAS;31/12/2000;11111111725;São Paulo;RUA BENJAMIM PEREIRA;521;;JACANA;11960052873;N
DONATELLO DOS SANTOS;07/09/1956;11111111204;São Paulo;RUA ROLANDIA;S/N;;JAGUARE;11891415544;N
CELSO LUIS GIANNASI;02/05/1972;11111111691;São Paulo;AV ARAICAS;254;;JAGUARE;11949512193;N
CINTIA PELLI;20/08/1981;11111111719;São Paulo;RUA BARCELONA;99;;JAGUARE;11958192753;S
ELMO SOUZA D AVILA;03/09/1979;11111111922;São Paulo;RUA HELIODORO PAIVA;S/N;;JARD M AUGUSTO;11997014097;N
BERNARDINO CAMPI;17/05/1958;11111111179;São Paulo;RUA ALEXANDRE SILVA;S/N;;JARDIM BRASILIA;11958756044;S
ANTONIO ROBERTO FREIRE;20/09/1986;11111111564;São Paulo;RUA SAMUEL BOVY;S/N;;JARDIM CITY JARAGUA;11910139653;N
ELAINE CARNEIRO DOS SANTOS;02/02/1960;11111111887;São Paulo;RUA ARARIPIRA;S/N;;JARDIM DO RECANTO;11998414797;S
FRANCESCO GRANACCI;06/12/1958;11111111217;São Paulo;RUA MANOEL BACELAR;S/N;;JARDIM HELIAN;11887515284;S
CLOVIS RAIMUNDO CUNHA;19/07/1996;11111111742;São Paulo;AV PONTE DA AMIZADE;S/N;;JARDIM IGUATEMI;11965323213;S
DALMO ALVES DE SOUZA VIANA;18/05/1986;11111111784;São Paulo;RUA DR OLIVIO MONTENEGRO;S/N;;JARDIM ITAPEMIRIM;11978344053;S
MARCELO DOS SANTOS MARQUES BRAGA;20/07/2001;11111111527;São Paulo;PC PROF JAIME POGGI;S/N;;JARDIM MARIA ESTELA;11901459084;S
HÉLIO CARVALHO LEANDRO;26/05/1977;11111111321;São Paulo;RUA JOSE PEREIRA FALCAO;S/N;;JARDIM MARISA;11965323204;N
STELA MARIS BERNARDI;14/06/1965;11111111910;São Paulo;RUA CARDOSO MOREIRA;S/N;;JARDIM OLINDA;11997494337;N
CELSO HENRIQUES DE PAULA;29/09/1976;11111111692;São Paulo;RUA VITANTONIO MATOROSA;S/N;;JARDIM PRINCESA;11949822213;S
ANDERSON FRANCO DE CAMARGO;23/05/1987;11111111460;São Paulo;RUA MINISTRO LUIZ SPARANO;S/N;;JARDIM SANTA ADELIA;11922230424;S
EDSON COQUEIRO FILHO;09/08/1963;11111111966;São Paulo;AV SANTA MONICA;S/N;;JARDIM SANTA MONICA;11995253217;S
DELMAR RUI DA GRAÇA BINAS;29/09/1993;11111111824;São Paulo;RUA AFONSO FURTADO DE CASTRO;S/N;;JARDIM SANTO ANDRE;11990744853;S
EDIVALDO MARCELO ABENÇOADO DOS SANTOS LEAL;17/08/1985;11111111371;São Paulo;RUA MANUEL HOMEM DE ANDRADE;S/N;;JARDIM SANTO ANTONIO;11949822204;S
ANDREA MANTEGNA;06/04/1969;11111111164;São Paulo;RUA ANDRE LENS;10;;JARDIM SAO LUIZ;11985936224;N
DONIZETE LIMA DE AGUIAR;04/06/1977;11111111370;São Paulo;AV UTARO KANAI C/ FESTA CHINESA;S/N;;JARDIM SAO PAULO;11950132224;N
ANDRE DELFINO DA SILVA;07/06/1987;11111111490;São Paulo;RUA JERONIMO DIAS RIBEIRO;S/N;;JARDIM SAO PAULO;11912929824;N
ALINE NASCIMENTO BARROZO TORRES;02/08/1991;11111111437;São Paulo;RUA ALVARO DA COSTA;S/N;;JARDIM SAO PAULO;11929360884;S
DIÓGENES JURADO CERQUEIRA;16/06/1958;11111111850;São Paulo;RUA INACIO MOREIRA;S/N;;JARDIM SOARES;11998805373;S
ISAAC BRITES;17/07/1973;11111111415;São Paulo;RUA RAIMUNDA P DE ALENCAR DA SILVA;S/N;;JARDIM VARGINHA;11936181324;N
JOAO DOMINGOS FILHO;18/02/1953;11111111857;São Paulo;RUA SERRA DO CACHIMBO;S/N;;JARDIM VITORIA;11999615397;N
JOSÉ BECHARA NETO;06/04/1980;11111111346;São Paulo;AV ELISIO CORDEIRO DE SIQUEIRA;S/N;;JARIDM;11957572704;N
ADRIANO DOS SANTOS;31/07/1954;11111111886;São Paulo;RUA TAPES;683;;JD AEROPORTO;11998454817;N
JOSÉ ANTONIO AVELINO DOS SANTOS;04/03/1994;11111111514;São Paulo;RUA MARCO AURELIO MARILAN;S/N;;JD ALMEIDA PRADO;11905489344;N
CÉLIA NAIR SOARES;22/07/1967;11111111688;São Paulo;AL LORENA;S/N;;JD AMERICA;11948582133;S
ROBERTO CARLOS FLAVIANO;01/03/1985;11111111518;São Paulo;RUA BARAO DE CAPANEMA;S/N;;JD AMERICA;11904249264;S
RAIMUNDO XAVIER DE OLIVEIRA CRUZ;21/03/1965;11111111949;São Paulo;RUA JAIRO PINTO ARAUJO;166;;JD ANA MARIA;11995933557;S
ADILSON ARMANDO CARVALHO AMADEU;03/03/1982;11111111382;São Paulo;RUA MARCELINO COELHO;S/N;;JD ANGELA;11946411984;S
ADEMIR DO VALE CONCEIÇÃO;01/11/1997;11111111379;São Paulo;RUA JOSE DOMINGUES DE PONTES;5;;JD ANGELA;11947342044;N
JOSE AGRIPINO DA SILVA;10/10/1978;11111111399;São Paulo;RUA DR PAULO RIBEIRO COELHO;S/N;;JD ANTONIA;11941141644;N
MARIA CICERA DOS SANTOS;30/03/1990;11111111710;São Paulo;AV ODILON PIRES;S/N;;JD ARICANDUVA;11955402573;N
AGILDO FAUSTINO DOS SANTOS JUNIOR;29/12/1985;11111111547;São Paulo;RUA UACUMA;58;;JD ARIZI;11904869313;S
PITÁGORAS VELOSO;06/05/1947;11111111146;São Paulo;RUA ADERBAL STRESSER;S/N;;JD ARPOADOR;11963565864;N
BRUNA LEE LAGES DE ALMEIDA;14/07/1986;11111111595;São Paulo;RUA CACHOEIRA DO ARREPENDIMENTO;S/N;;JD ARPOADOR;11919750273;S
ZERILDO MALAQUIAS DOS SANTOS;16/11/1979;11111111974;São Paulo;RUA IGUPIARA;S/N;;JD BOA ESPERANCA;11994933057;N
